consommation,previsionJ
62453,61400
62190,61300
61928,61200
61670,60900
61411,60600
61375,60800
61338,61000
61488,61350
61637,61700
62539,62550
63442,63400
64740,64900
66039,66400
66800,67350
67560,68300
68398,69100
69236,69900
69354,69600
69473,69300
68995,68750
68516,68200
67755,67350
66993,66500
66340,65800
65686,65100
64931,64350
64176,63600
63529,62800
62882,62000
62998,62350
63115,62700
64024,63950
64933,65200
64547,64900
64161,64600
64046,63800
63931,64100
63270,63300
62608,62500
61552,61750
60496,61000
60507,61050
60519,61100
60331,60850
60143,60600
59913,60200
59682,59800
58907,59100
58131,58400
57766,57850
57402,57300
57016,57050
56631,56800
56655,56900
56679,57000
56907,58000
57134,59000
58300,59700
59466,60400
60388,61150
61310,61900
63106,63700
64902,65500
66430,67050
67957,68600
69549,70050
71142,71500
72315,72550
73487,73600
73934,73900
74381,74200
74598,74200
74815,74200
75034,74500
75252,74800
75425,74950
75598,75100
75666,75350
75734,75600
75759,75550
75785,75500
75934,75600
76084,75700
76498,76250
76912,76800
77014,76500
77116,76200
77153,76850
77189,77500
76644,76350
76098,75200
75606,74800
75115,74400
74587,73900
74059,73400
73440,72550
72821,71700
72418,71300
72015,70900
71824,70650
71632,70400
71567,70550
71502,70700
71549,71100
71597,71500
72448,72500
73299,73500
74491,74750
75683,76000
76438,76750
77194,77500
77993,78350
78792,79200
78503,78450
78214,77700
77118,76650
76021,75600
74835,74400
73648,73200
72518,72200
71387,71200
70468,70200
69548,69200
68817,68400
68085,67600
68115,67600
68145,67600
68887,69300
69629,71000
69206,70550
68782,70100
68538,69350
68294,67700
67618,66900
66942,66100
65873,65150
64804,64200
64835,64500
64866,64800
64722,64650
64578,64500
64390,63900
64202,63300
63485,62700
62767,62100
62345,61700
61923,61300
61584,61000
61246,60700
61144,60650
61042,60600
61327,61150
61611,61700
62649,62650
63688,63600
64557,64550
65426,65500
67213,67200
69000,68900
70571,70550
72142,72200
73854,73950
75566,75700
76664,76800
77762,77900
78259,78300
78755,78700
78993,78850
79231,79000
79294,79200
79358,79400
79350,79150
79343,78900
79274,79000
79204,79100
79074,78900
78943,78700
78994,78700
79045,78700
79222,79000
79399,79300
79170,78700
78940,78100
78770,78700
78600,79300
77820,77800
77040,76300
76408,75600
75775,74900
74966,74700
74156,74500
73548,73250
72940,72000
72580,71750
72221,71500
71882,71300
71542,71100
71546,71050
71550,71000
71815,71150
72080,71300
73154,72200
74228,73100
75739,74750
77249,76400
78350,77500
79451,78600
80301,79500
81151,80400
80836,80000
80520,79600
79680,78350
78840,77100
77743,76100
76646,75100
75548,74000
74451,72900
73590,72200
72729,71500
71886,70700
71043,69900
71147,70250
71252,70600
71994,71700
72735,72800
72262,72350
71789,71900
71644,71300
71498,71000
70857,70200
70217,69400
69145,68500
68073,67600
68156,68000
68239,68400
68113,68350
67988,68300
67815,67600
67642,66900
66898,66250
66153,65600
65755,65250
65357,64900
65053,64700
64749,64500
64790,64600
64831,64700
65039,65100
65246,65500
66276,66450
67305,67400
68211,68350
69117,69300
70710,70850
72302,72400
73601,73750
74899,75100
76325,76600
77751,78100
78806,79150
79860,80200
80638,81200
81416,82200
81732,82150
82048,82100
82154,82200
82259,82300
82249,82150
82239,82000
82166,81950
82092,81900
81916,81750
81741,81600
81717,81500
81693,81400
81827,81500
81962,81600
81886,81250
81810,80900
81535,81450
81261,82000
80359,80300
79457,78600
78858,77850
78258,77100
77589,76800
76919,76500
76097,75400
75275,74300
74880,74100
74484,73900
74113,73700
73743,73500
73765,73550
73787,73600
73780,74000
73772,74400
74874,75350
75976,76300
77408,77900
78840,79500
79901,80600
80961,81700
81756,82600
82551,83500
82324,82950
82097,82400
81205,81400
80313,80400
79072,79050
77832,77700
76762,76600
75692,75500
74864,74550
74036,73600
73317,72800
72597,72000
72709,72400
72820,72800
73455,73850
74089,74900
73720,74600
73350,74300
73190,73550
73030,72600
72367,71800
71704,71000
70635,70100
69566,69200
69900,69800
70233,70400
70129,70450
70024,70500
69873,69800
69722,69100
68988,68450
68253,67800
67802,67350
67351,66900
66934,66500
66517,66100
66528,66200
66539,66300
66648,66700
66757,67100
67806,68050
68855,69000
69651,69800
70447,70600
72176,72350
73904,74100
75262,75550
76619,77000
78110,78300
79601,79600
80707,80750
81813,81900
82445,82550
83077,83200
83253,83300
83428,83400
83654,83550
83880,83700
83803,83350
83727,83000
83507,82950
83287,82900
83099,82600
82910,82300
82741,82200
82571,82100
82706,82200
82840,82300
82689,81800
82537,81300
82260,81950
81983,82600
81076,80850
80168,79100
79388,78300
78608,77500
77789,77250
76970,77000
76182,75850
75394,74700
74925,74350
74455,74000
74182,73650
73909,73300
73860,73400
73811,73500
73926,73950
74040,74400
75211,75550
76382,76700
78062,78250
79743,79800
80911,80750
82079,81700
82962,82500
83844,83300
83608,82600
83372,81900
82453,81050
81534,80200
80529,79050
79524,77900
78508,76850
77492,75800
76599,74700
75707,73600
75065,73000
74424,72400
74398,72850
74372,73300
75184,74450
75995,75600
75530,75250
75064,74900
74941,74250
74817,74400
74226,73750
73634,73100
72615,72150
